1;299;2025-06-02T22:31:33.445Z;web;completed;credit_card;31.4;512.93
2;917;2025-06-30T18:59:32.297Z;marketplace;completed;credit_card;7.4;895.18
3;379;2025-08-28T22:53:52.421Z;mobile_app;completed;credit_card;18.6;260.32
4;276;2025-03-25T07:31:53.371Z;web;completed;debit_card;3.87;678.65
5;828;2025-06-24T13:10:15.316Z;physical_store;refunded;credit_card;22.14;866.12
6;839;2025-11-11T20:11:14.578Z;physical_store;refunded;debit_card;37.45;618.71
7;242;2025-05-19T02:24:34.008Z;physical_store;completed;credit_card;34.16;88.19
8;585;2025-07-23T07:53:17.803Z;mobile_app;completed;pix;6.92;991.6
9;996;2025-06-17T14:22:25.651Z;mobile_app;pending;credit_card;16.93;1005.44
10;446;2025-12-08T04:39:45.602Z;mobile_app;refunded;debit_card;33.36;306.09
11;933;2025-07-20T21:49:02.747Z;web;completed;credit_card;22.08;881.57
12;533;2025-12-07T21:32:05.302Z;physical_store;canceled;credit_card;28.02;623.84
13;801;2024-12-25T17:21:47.133Z;physical_store;completed;credit_card;22.66;613.68
14;988;2025-01-22T05:47:15.259Z;web;canceled;credit_card;4.04;304.41
15;549;2025-12-11T06:35:37.079Z;marketplace;canceled;credit_card;26.19;606.77
16;485;2025-08-27T11:34:04.094Z;web;completed;credit_card;24.73;711.93
17;412;2025-04-17T23:41:31.164Z;web;completed;pix;27.62;95.93
18;487;2025-05-28T09:55:35.249Z;marketplace;canceled;credit_card;32.7;349.69
19;288;2025-11-22T12:39:28.617Z;physical_store;canceled;debit_card;38.9;282.3
20;308;2025-11-14T11:14:11.582Z;physical_store;pending;credit_card;29.15;642.03
21;92;2025-02-28T14:00:06.120Z;mobile_app;completed;paypal;16.29;511.06
22;529;2025-04-26T12:11:03.908Z;marketplace;pending;credit_card;6.36;331.26
23;519;2025-06-16T22:26:21.984Z;physical_store;completed;pix;35.17;83.54
24;198;2025-11-03T07:51:53.166Z;mobile_app;pending;credit_card;18.26;937.93
25;722;2025-10-21T15:02:10.336Z;mobile_app;completed;pix;20.21;662.91
26;127;2025-02-19T19:50:08.008Z;web;completed;credit_card;17.84;979.15
27;486;2025-08-04T14:47:25.418Z;marketplace;completed;pix;10.35;844.6
28;93;2025-01-15T02:27:42.936Z;marketplace;completed;credit_card;34.15;818.38
29;220;2025-02-09T12:54:43.049Z;mobile_app;completed;debit_card;10.76;432.08
30;21;2025-05-11T04:05:30.157Z;web;completed;credit_card;6.93;811.78
31;230;2025-09-18T06:34:51.132Z;marketplace;completed;paypal;28.51;743.69
32;282;2025-04-25T14:49:39.947Z;physical_store;canceled;pix;18.36;252.2
33;310;2025-04-27T13:34:33.072Z;physical_store;completed;credit_card;39.98;1007.14
34;860;2025-03-19T03:09:22.457Z;marketplace;completed;credit_card;11.31;702.03
35;494;2025-10-29T17:52:20.868Z;web;completed;credit_card;13.01;304.36
36;672;2025-06-06T13:00:40.275Z;marketplace;completed;credit_card;9.61;85.25
37;878;2025-08-13T19:33:31.416Z;physical_store;completed;debit_card;28.85;691.14
38;303;2025-01-13T20:29:33.100Z;marketplace;canceled;credit_card;29.47;620.83
39;586;2025-10-24T06:52:58.334Z;mobile_app;completed;debit_card;27.45;673.0
40;488;2025-08-10T08:55:15.580Z;marketplace;completed;pix;33.63;912.59
41;186;2025-03-24T18:42:30.598Z;marketplace;completed;credit_card;10.35;822.53
42;782;2025-10-16T21:54:33.027Z;mobile_app;canceled;pix;26.18;263.99
43;229;2024-12-16T09:33:24.699Z;marketplace;completed;pix;14.87;608.73
44;475;2025-10-09T10:54:30.409Z;web;completed;pix;23.34;968.75
45;73;2025-06-18T12:49:05.166Z;physical_store;canceled;credit_card;34.7;428.74
46;306;2025-11-28T14:31:36.758Z;physical_store;completed;pix;5.49;221.78
47;420;2025-05-17T07:06:39.026Z;physical_store;completed;pix;7.21;106.41
48;341;2025-02-18T07:01:47.869Z;mobile_app;completed;credit_card;18.08;243.27
49;793;2024-12-29T08:08:30.805Z;mobile_app;completed;credit_card;31.41;815.57
50;133;2025-08-27T08:44:27.046Z;physical_store;completed;credit_card;38.61;434.26
