1;1;106;4;72.99;291.96
2;1;104;4;511.08;2044.32
3;1;150;4;284.97;1139.88
4;1;203;1;461.42;461.42
5;2;249;5;47.89;239.45
6;2;101;3;499.43;1498.29
7;3;76;1;483.4;483.4
8;3;28;1;661.58;661.58
9;3;295;4;412.87;1651.48
10;3;146;4;166.24;664.96
11;3;36;1;342.7;342.7
12;4;168;3;38.26;114.78
13;4;59;4;619.0;2476.0
14;4;201;4;151.48;605.92
15;4;154;2;37.6;75.2
16;4;266;1;35.21;35.21
17;5;129;4;62.41;249.64
18;5;111;3;413.14;1239.42
19;5;165;4;38.87;155.48
20;6;175;3;392.08;1176.24
21;6;12;2;270.36;540.72
22;7;240;4;336.33;1345.32
23;7;15;4;398.12;1592.48
24;8;31;1;110.95;110.95
25;8;247;5;65.42;327.1
26;8;44;4;248.91;995.64
27;8;278;2;62.36;124.72
28;9;97;4;126.64;506.56
29;9;252;5;393.85;1969.25
30;10;153;4;658.48;2633.92
31;10;53;4;271.16;1084.64
32;10;107;5;962.61;4813.05
33;10;128;1;453.51;453.51
34;10;256;1;598.03;598.03
35;11;187;3;111.57;334.71
36;11;61;1;32.98;32.98
37;11;16;5;82.22;411.1
38;11;219;5;261.61;1308.05
39;12;226;5;340.8;1704.0
40;12;272;1;234.67;234.67
41;12;138;5;360.28;1801.4
42;13;237;3;143.05;429.15
43;13;110;1;347.9;347.9
44;13;222;3;657.16;1971.48
45;14;95;2;34.57;69.14
46;14;264;4;390.15;1560.6
47;14;30;5;125.86;629.3
48;14;6;4;646.97;2587.88
49;15;126;4;215.01;860.04
50;15;43;3;485.67;1457.01
51;15;220;5;595.82;2979.1
52;16;137;5;85.49;427.45
53;16;22;3;406.83;1220.49
54;16;283;5;586.98;2934.9
55;17;96;4;361.47;1445.88
56;17;18;3;416.97;1250.91
57;18;80;1;157.95;157.95
58;18;217;2;468.45;936.9
59;18;28;1;880.15;880.15
60;19;206;5;169.81;849.05
61;19;196;2;202.4;404.8
62;19;101;3;674.04;2022.12
63;19;113;4;247.81;991.24
64;19;11;1;188.16;188.16
65;20;226;5;303.35;1516.75
66;21;181;3;342.13;1026.39
67;22;93;4;313.63;1254.52
68;23;14;2;535.15;1070.3
69;23;61;5;26.21;131.05
70;24;286;3;355.06;1065.18
71;25;66;5;209.71;1048.55
72;25;103;1;643.75;643.75
73;25;41;4;259.7;1038.8
74;26;29;5;246.01;1230.05
75;26;155;1;303.38;303.38
76;27;178;3;187.35;562.05
77;28;112;4;214.92;859.68
78;28;265;2;174.32;348.64
79;28;184;5;314.36;1571.8
80;28;228;2;382.26;764.52
81;29;168;1;35.05;35.05
82;29;122;1;306.42;306.42
83;29;270;4;113.74;454.96
84;30;264;4;447.85;1791.4
85;30;71;2;611.44;1222.88
86;31;259;3;271.05;813.15
87;32;187;5;152.17;760.85
88;32;240;1;274.7;274.7
89;32;215;3;158.27;474.81
90;33;28;1;781.86;781.86
91;33;263;5;470.48;2352.4
92;34;135;4;379.79;1519.16
93;34;257;3;28.79;86.37
94;34;233;3;678.64;2035.92
95;35;300;1;79.97;79.97
96;35;59;2;663.67;1327.34
97;35;167;3;388.28;1164.84
98;36;22;1;331.77;331.77
99;36;122;4;313.66;1254.64
100;36;171;3;94.25;282.75
101;37;108;5;186.92;934.6
102;37;189;1;669.47;669.47
103;37;171;2;107.0;214.0
104;38;225;4;407.65;1630.6
105;38;169;4;169.55;678.2
106;38;154;5;36.07;180.35
107;38;229;3;549.25;1647.75
108;39;65;2;647.21;1294.42
109;40;148;4;203.45;813.8
110;40;128;5;371.39;1856.95
111;41;32;5;138.28;691.4
112;41;146;5;167.9;839.5
113;41;170;5;621.16;3105.8
114;41;187;4;134.58;538.32
115;42;55;2;77.46;154.92
116;42;224;5;372.61;1863.05
117;42;219;4;259.49;1037.96
118;43;61;5;24.7;123.5
119;43;79;1;289.63;289.63
120;43;169;4;181.44;725.76
121;43;187;3;143.45;430.35
122;44;193;3;59.67;179.01
123;45;79;2;264.86;529.72
124;45;252;4;351.53;1406.12
125;46;145;3;306.52;919.56
126;47;142;4;291.4;1165.6
127;47;53;1;277.49;277.49
128;48;187;2;152.54;305.08
129;48;173;3;387.38;1162.14
130;48;285;3;472.2;1416.6
131;49;223;4;245.15;980.6
132;49;96;2;303.28;606.56
133;49;63;4;90.87;363.48
134;50;213;5;339.37;1696.85
135;50;261;1;255.27;255.27
136;50;28;5;635.05;3175.25
137;50;287;5;221.82;1109.1
138;51;151;2;254.77;509.54
139;52;190;3;550.46;1651.38
140;53;165;5;34.31;171.55
141;53;82;4;476.01;1904.04
142;53;48;1;235.22;235.22
143;53;297;5;152.41;762.05
144;53;234;2;299.07;598.14
145;54;19;5;254.43;1272.15
146;54;269;1;618.58;618.58
147;54;295;1;401.4;401.4
148;54;266;5;31.87;159.35
149;55;48;1;200.6;200.6
150;56;89;2;214.07;428.14
151;56;23;1;326.5;326.5
152;57;122;5;294.06;1470.3
153;57;112;4;213.88;855.52
154;58;2;5;646.04;3230.2
155;58;121;4;188.81;755.24
156;59;287;5;239.95;1199.75
157;60;153;4;622.08;2488.32
158;60;146;4;142.53;570.12
159;60;231;3;278.71;836.13
160;60;267;2;272.4;544.8
161;60;51;5;249.53;1247.65
162;61;48;3;210.02;630.06
163;61;96;2;375.45;750.9
164;61;151;4;282.64;1130.56
165;61;208;1;175.36;175.36
166;61;223;5;179.77;898.85
167;62;254;4;415.43;1661.72
168;62;223;5;228.17;1140.85
169;63;266;4;35.45;141.8
170;63;48;3;192.4;577.2
171;63;282;5;59.94;299.7
172;64;270;3;126.39;379.17
173;64;229;5;533.23;2666.15
174;64;46;5;240.61;1203.05
175;64;157;3;210.61;631.83
176;65;170;3;613.21;1839.63
177;65;224;2;416.24;832.48
178;65;207;1;600.93;600.93
179;66;299;4;205.87;823.48
180;66;6;5;551.2;2756.0
181;66;285;4;436.22;1744.88
182;66;290;5;168.17;840.85
183;67;276;2;29.36;58.72
184;68;75;5;372.05;1860.25
185;68;125;2;303.7;607.4
186;68;70;2;97.51;195.02
187;68;137;2;79.93;159.86
188;68;197;5;644.8;3224.0
189;69;199;1;337.84;337.84
190;70;252;4;372.52;1490.08
191;70;155;1;346.13;346.13
192;70;267;3;231.5;694.5
193;70;168;4;39.65;158.6
194;71;231;4;242.11;968.44
195;71;205;5;487.62;2438.1
196;71;191;1;481.45;481.45
197;72;35;4;415.22;1660.88
198;72;68;3;503.06;1509.18
199;72;203;5;464.77;2323.85
200;73;115;3;262.87;788.61
201;73;85;3;798.29;2394.87
202;73;240;3;257.81;773.43
203;73;19;3;279.74;839.22
204;74;22;3;292.03;876.09
205;74;32;5;112.7;563.5
206;75;234;2;213.67;427.34
207;75;52;3;464.1;1392.3
208;75;189;5;558.66;2793.3
209;76;178;1;165.49;165.49
210;76;12;3;323.0;969.0
211;76;175;5;340.78;1703.9
212;76;210;5;269.57;1347.85
213;76;192;3;178.64;535.92
214;77;96;5;394.73;1973.65
215;77;289;4;754.95;3019.8
216;78;105;3;199.3;597.9
217;78;96;2;350.68;701.36
218;78;251;1;358.99;358.99
219;78;25;5;878.0;4390.0
220;79;252;1;303.53;303.53
221;80;65;5;583.62;2918.1
222;80;42;4;567.65;2270.6
223;81;298;5;489.52;2447.6
224;81;209;3;371.75;1115.25
225;81;186;4;381.23;1524.92
226;82;180;1;893.83;893.83
227;82;220;3;466.69;1400.07
228;83;100;4;411.0;1644.0
229;83;23;3;341.04;1023.12
230;83;160;1;419.18;419.18
231;83;4;1;225.25;225.25
232;83;248;2;449.0;898.0
233;84;56;5;466.07;2330.35
234;84;206;3;140.73;422.19
235;85;236;3;451.43;1354.29
236;85;57;2;349.68;699.36
237;86;23;2;334.49;668.98
238;86;146;2;144.86;289.72
239;87;45;4;408.08;1632.32
240;87;92;3;465.51;1396.53
241;88;90;2;18.91;37.82
242;89;212;3;38.99;116.97
243;90;215;2;137.44;274.88
244;91;170;4;567.76;2271.04
245;91;174;2;383.14;766.28
246;91;77;2;285.62;571.24
247;92;30;1;112.57;112.57
248;92;74;3;250.04;750.12
249;92;233;4;688.73;2754.92
250;92;161;1;71.76;71.76
251;93;164;4;256.74;1026.96
252;94;92;1;523.68;523.68
253;95;197;4;667.11;2668.44
254;96;104;5;632.17;3160.85
255;96;93;2;286.4;572.8
256;96;124;3;15.27;45.81
257;96;187;3;149.47;448.41
258;96;97;3;166.81;500.43
